,id,description,index
171,20b4d8ef5411d2618fc0061cdbf061b5--southern-sweet-tea-what-to-do.jpg,"Sweet Tea! 6 regular tea bags 1/8 teaspoon baking soda 2 cups boiling water 1 1/2 cups sugar 6 cups cold water What To Do Place tea bags, baking soda, and boiling water together in a sauce pan. Let it sit for 15 minutes. Take teabags out, then add sugar. Mix till dissolved. Add cold water. Chill and serve with ice Enjoy!",172
172,9dec7b3fed0c7aac158c64516f409275--food-storage-recipes-lunch-recipes.jpg,Overloaded with blueberries and don't want to make any more jam or dehydrate them? Try making your own Blueberry Soda!,173
173,33a015d93317a6941216caecad953246.jpg,🍒 Cherry Vanilla Vodka Soda,174
174,7d0ea24beb1f4a0f6ef703f9bc48b9a7--summer-drinks-holiday-drinks.jpg,Red Cream Soda Floats thecraftedsparrow.com,175
175,7cc5e3e40857bb50101a369edd87d555--non-alcoholic-beverages-sweet-cherries.jpg,Cherry Vanilla Italian Soda,176
176,d1aa22189d9633f234b5de77475e5ee0--italian-soda-bar-italian-cream-soda.jpg,Italian sodas,177
177,4bb8962d253321b9aa8c3cbd5da4f81a--au-natural-natural-living.jpg,This homemade deodorant is made from a few effective ingredients without baking soda which can be harsh on your armpits and cause a rash.,178
178,f39fc126f6e715c6ab25bea10437b6d6--refreshing-food-refreshing-drinks-alcohol.jpg,"Cucumber Mint Cooler topped with your choice of club soda, seltzer, or water, and a squeeze of lime juice. It's cool, fizzy, and super refreshing.| Food to gladden the heart at RotiNRice.com",179
179,c1f888fdd7bdb3b218d0b8afac1f62c6--probiotic-drinks-alcoholic-drinks.jpg,50+ Probiotic & Fermented Drinks... Beyond Kombucha & Kefir!,180
180,9600a8011a60f24c4adf07004691e39b--lavender-crafts-lavender-recipes.jpg,Refreshing Homemade Lavender Soda | Henry Happened,181
181,264653598d09ea3c3cbb7aa5365002fb.jpg,"Our favorite summer cocktail recipe! Try this sparkling grapefruit bikini cocktail made with grapefruit juice, jam, vodka and grapefruit soda!  #summer #cocktails #vodka #recipes #grapefruit #parties #entertaining",182
182,83c14c59b9aad184bda1b907675b5cce.jpg,Mango Dragonfruit Refresher,183
183,b74ef6209db8f933affd22d873f22662--grapefruit-soda-non-alcoholic-drinks.jpg,"(Image credit: Apartment Therapy) Pink grapefruit and pomegranate comprise the main ingredients in this gorgeously hued soda, and yet you might have a hard time picking out either flavor. What it does taste like is the holidays: merry, bright, a little spiced and very festive.To make the syrup for this seasonal fruit soda, you simply",184
184,9984a5a442932a6227501c3a2403f53c.jpg,Melon Ball Punch AKA Bottled Summer,185
185,87f49edd4fbd96f061de6a6f8bd090dd--cream-soda-ice-cream.jpg,"Cranberry, Tangerine, Rosemary, And Cream Soda Mocktails | Spoon Fork Bacon",186
186,35de510fb62402b459529d4822235436--soda-drink-mineral-water.jpg,Homemade Cherry Lime Soda >> Beverages & Popsicles--Non Alcoholic <<,187
